player,color,opponent,result,event,site,date,year,eco,opening,plycount
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C53,"Giuoco Piano, Moeller Attack",67
Paul Morphy,white,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1863.??.??,1863,C38,"King’s Gambit Accepted, Hanstein Gambit",112
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C66,"Ruy Lopez, Berlin Defense, Classical Variation",127
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1863.??.??,1863,C58,"Two Knights Defense, Fried Liver Attack",40
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C51,Evans Gambit,47
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C55,Two Knights Defense,51
Paul Morphy,white,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C51,Evans Gambit,79
Paul Morphy,black,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C33,King’s Gambit Accepted,59
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1863.??.??,1863,C51,Evans Gambit,76
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1863.??.??,1863,C50,Italian Game,66
Paul Morphy,black,"De Riviere, Jules Arnous",0-1,Paris m2,Paris,1863.??.??,1863,C54,Giuoco Piano,48
Paul Morphy,white,"Capdevielle, P.",1-0,Havana sim,Havana,1864.??.??,1864,C51,Evans Gambit,71
Paul Morphy,white,"Sicre, Felix",1-0,Havana sim,Havana,1864.??.??,1864,C41,Philidor Defense,41
Paul Morphy,white,"Golmayo Zupide, Celso",1-0,Havana sim,Havana,1864.??.??,1864,C51,Evans Gambit,57
Paul Morphy,white,Dominguez,1-0,Havana sim,Havana,1864.??.??,1864,C55,Two Knights Defense,39
Paul Morphy,white,"Maurian, Charles Amedee",1-0,New Orleans,New Orleans,1866.??.??,1866,C37,"King’s Gambit Accepted, Muzio Gambit",31
Paul Morphy,white,"Muarian, C.",1-0,New Orleans,New Orleans,1866.??.??,1866,C37,"King’s Gambit Accepted, Muzio Gambit",35
Jose Raul Capablanca,white,"Corzo y Prinzipe, Juan",0-1,Havana m,Havana,1901.??.??,1901,C47,Four Knights Game,58
Jose Raul Capablanca,black,"Corzo y Prinzipe, Juan",1-0,Havana m,Havana,1901.??.??,1901,C52,"Evans Gambit, Pierce Defense",53
Jose Raul Capablanca,white,"Corzo y Prinzipe, Juan",1/2-1/2,Havana m,Havana,1901.??.??,1901,A80,Dutch Defense,121
Jose Raul Capablanca,black,"Corzo y Prinzipe, Juan",0-1,Havana m,Havana,1901.??.??,1901,C49,"Four Knights, Double Ruy Lopez",136
Jose Raul Capablanca,white,"Corzo y Prinzipe, Juan",1/2-1/2,Havana m,Havana,1901.??.??,1901,D00,Queen’s Pawn Game,97
